ID,Date,Person,Start time,Total time,Dewlap,Pushbobs,Movements
G101,26-Jun,jtl,4:57,17,15,22,21
G101,27-Jun,jtl,10:44,20,0,0,17
G101,28-Jun,jtl,10:36,20,0,0,10
G102,12-Jun,ss,9:08,12,6,2,13
G102,13-Jun,maj,8:09,16,13,9,7
G102,14-Jun,ss,8:59,20,67,0,13
G102,18-Jun,ss,5:01,14,0,0,29
G102,22-Jun,maj,11:14,20,14,2,10
G103,15-Jun,ss,9:25,20,35,18,13
G103,23-Jun,ss,10:03,14,0,0,29
G103,24-Jun,maj/jtl,10:54,20,24,15,26
G103,25-Jun,maj,8:38,20,12,9,49
G103,26-Jun,ss,8:16,20,18,3,28
G106,14-Jun,maj,5:07,20,0,0,4
G106,15-Jun,ss,11:30,20,0,10,26
G106,26-Jun,maj,10:28,20,0,0,13
G106,27-Jun,maj,9:12,20,0,0,9
G109,18-Jun,ss/maj,5:40,20,0,0,13
G109,18-Jun,ss,2:17,20,39,22,25
G109,22-Jun,jtl,9:13,20,2,18,34
G110,13-Jun,maj,8:48,20,0,0,3
G110,14-Jun,jtl,8:14,20,29,9,10
G110,17-Jun,maj,9:20,20,6,3,20
G110,18-Jun,jtl/maj,8:42,20,20,13,28
G110,22-Jun,maj,10:53,20,0,0,2
G112,14-Jun,jtl,15:27,20,16,19,15
G112,14-Jun,ss,10:57,20,40,33,9
G112,19-Jun,ss,8:52,20,53,21,24
G112,21-Jun,jtl,10:26,20,15,8,35
G112,24-Jun,ss,11:48,20,0,0,0
G112,25-Jun,ss,8:21,20,84,16,16
G113,21-Jun,maj,9:55,20,1,0,2
G113,25-Jun,jtl,8:53,20,2,0,16
G114,18-Jun,jtl,14:50,20,0,2,4
G114,19-Jun,jtl,10:00,20,10,0,13
G114,21-Jun,jtl,9:22,20,0,0,1
G114,27-Jun,maj,9:39,20,0,0,31
G115,23-Jun,maj,9:08,20,0,0,10
G117,13-Jun,ss,11:07,10,3,4,22
G119,17-Jun,jtl,9:07,20,3,0,2
G119,19-Jun,jtl,3:24,20,0,0,2
G119,22-Jun,jtl,9:55,15,9,12,10
G119,23-Jun,jtl,10:26,20,0,0,14
G119,27-Jun,jtl,9:40,20,0,12,19
G122,18-Jun,jtl,9:10,20,22,18,44
G122,19-Jun,jtl,10:59,20,26,0,5
G122,23-Jun,maj,9:50,12,5,0,18
G122,26-Jun,jtl,10:24,20,31,0,5
G129,18-Jun,ss,11:07,20,0,0,10
G129,19-Jun,maj,11:14,20,0,0,20
G129,21-Jun,ss,9:58,20,0,0,8
G129,25-Jun,jtl,9:26,20,9,2,11
G129,26-Jun,maj,10:01,20,0,0,0
G131,25-Jun,jtl,8:10,20,0,0,17
G131,27-Jun,maj,11:15,20,0,0,9
G133,21-Jun,maj,11:16,20,0,0,4
G133,26-Jun,maj,12:17,20,0,0,4
G133,27-Jun,maj,10:04,12,0,0,18
G133,28-Jun,ss,10:22,20,5,3,12
G138,19-Jun,jtl,8:55,19,20,17,26
G138,26-Jun,ss,10:34,20,15,3,24
G140,22-Jun,ss,9:52,20,44,30,18
G140,23-Jun,ss,8:44,20,6,3,16
G146,23-Jun,jtl,12:19,19,5,0,9
G146,29-Jun,maj,8:40,20,43,6,14
G147,24-Jun,ss,11:30,13,34,10,10
G147,27-Jun,jtl,11:31,20,13,8,7
G147,28-Jun,ss,9:10,20,0,0,3
G149,27-Jun,jtl,9:05,15,0,0,6
G155,18-Jun,ss,9:07,11,35,2,13
G300,19-Jul,maj,11:27,12,0,0,4
G300,20-Jul,ss,4:40,20,0,0,39
G300,27-Jul,jtl,10:56,20,0,0,27
G301,17-Jul,maj,2:20,20,10,8,5
G301,18-Jul,jtl,8:15,20,20,14,12
G301,18-Jul,jtl,16:17,15,6,0,10
G301,19-Jul,maj,3:34,20,0,0,8
G301,23-Jul,maj,5:08,20,3,0,20
G304,18-Jul,jtl,15:49,20,0,0,2
G304,18-Jul,maj,10:24,20,27,21,21
G304,21-Jul,jtl,14:56,20,26,35,13
G304,22-Jul,ss,9:38,20,0,0,63
G304,26-Jul,jtl,16:39,20,5,5,4
G307,20-Jul,jtl,10:18,20,26,10,8
G307,22-Jul,ss,8:34,20,9,0,19
G307,23-Jul,ss,3:13,20,9,0,14
G307,25-Jul,jtl,8:59,20,1,0,15
G307,27-Jul,jtl,9:37,20,0,0,24
G308,20-Jul,maj,4:31,20,23,0,0
G308,28-Jul,ss,11:02,20,44,4,21
G311,19-Jul,jtl,14:38,18,23,13,31
G311,27-Jul,ss,9:46,20,0,0,22
G311,28-Jul,jtl,11:08,20,64,0,5
G312,27-Jul,maj,11:10,20,0,7,10
G312,28-Jul,maj,10:15,20,0,5,19
G313,18-Jul,jtl,14:58,14,11,29,35
G313,19-Jul,maj,9:31,20,0,0,21
G313,20-Jul,jtl,15:38,20,5,0,8
G313,23-Jul,maj,3:28,20,0,0,16
G313,25-Jul,ss,8:59,20,0,2,22
G314,19-Jul,ss,10:46,20,163,5,34
G314,20-Jul,ss,3:59,20,11,0,15
G314,20-Jul,ss,8:29,20,10,2,38
G314,21-Jul,ss,9:18,20,11,3,25
G314,26-Jul,ss,9:53,19,28,0,46
G324,22-Jul,ss,9:02,18,12,0,28
G325,23-Jul,ss,4:00,20,52,22,23
G326,28-Jul,ss,3:39,20,0,0,9
G329,26-Jul,ss,5:03,20,6,0,10
G331,23-Jul,maj,4:13,20,13,22,47
G331,27-Jul,ss,10:37,20,22,2,55
G337,27-Jul,maj,10:24,12,0,0,14
